
label,tweet
1,i dont have long left this past month has been the worst 3 weeks ago i went on date with a guy and went to his place afterwards and he tried to force me to go farther than i wanted to go ive been afraid to even hang out with a guy since the next day i was fired from my job i spent the whole rest of that week alone filling out job app which didnt help with my depression the next week i started having some issues went to get tested and found i had gotten gonorrhea from the guy that tried to force me i went to dinner at a friends house and my car ended up getting towed so i owe my mom 150 for that i almost attempted suicide that day last week and i started work last week but will only be getting a partial paycheck because of when i started and i amcurrently 75 for my bank account and behind on my bills so i dont know how much this check is gonna help i just dont have any fight left in me anymore
1,i almost attempted suicide again when someone blackmailed me and threatened to have me thrown in jail for something i didnt do he knew where i worked and my parents names
1,i am 16 and hate myself so much i have very little friends an introvert never had a girlfriend been bullied a lot and rejected a lot please help me i want to kill myself it would make all this go away i dont deserve to be on this earth since i write notes on paper of how worthless and stupid i am i want to become someone in the it field but i am too stupid to get in there anyways and jobs nowadays need social people and i am not one of them ive never had a girlfriend before and i want to have one because being a virgin is a bad thing and i could never live with that feeling if i dont have any friends or a girlfriend wheni am an adult i plan on committing suicide can you please help me thanks for reading
1,goodbye everybody abusive dad bullying being a wimp because i never had a father figure in my childhood never getting to fuck the girls i wanted to fuck never having a say in anything becausei am too weak to step up three tours in iraq killed people who tried killing me saw those people kill my friends lost both legs to a roadside i ed wanted to become a physician but dreams are exactly that a fantasy and not something achievable spent 10 years in prison after cops ransacked my home and found 5 grams of weed i grow tired of wading through this hell every day ive been waiting for this moment for a long time and i have a 9mm ready to get the job done quick and clean fuck this place
1,i cant stop fucking upi amselfish gutless disrespectful spiteful rude self righteous arrogant ignorantim forgetful unfelpful self centeredim stupid clutzy lazy depressed constantly exhausted i havent filled out any of my college applications because i didnt even plan on living this long i just want to die so i can stop disgracing my family and inconveniencing my mom i kind of want to be a ballistician they look at bullets from dead bodies to see what gun it came out of but honestly i am more likely to be the subject of one and i dont have any friends in or out of school why am i like this
1,i ve got exactly 23 days of life left and ive never felt so calm or at peace id rather not wait till then but its the first day i will be completely alone and have the time i need this
1,i hate my parents so much i want to kill myself to spite them especially my dad i almost do not want to have children because i do not want my dad to become a grandfather just like how he didnt want me to have a girlfriend or friends growing up i dont think i would even goto his funeral if he died i hate you from the bottom of my heart you only had me in order to chain down my mom you hated and ignored yelled at me since i was a little boy and now i hate you forever this hatred is killing me 
1,i cant live in this world ok its too much its too bad and too evil and i cant handle it anymore theres so much more evil in the world than good almost everyone is just apathetic about all the suffering in the world or people actively contribute to it people harass hate and kill each other for no reason people get killed by natural disasters and most people dont give a shit at all they just think whatever better them than me and move on with their lives 
1,why is mankind afraid of death lately i am asking myself more often and often why do we fear death nowdays back in the middle ages for example of course you fear getting in hell and stupid shit like that but today even if it is completly painless why would you struggle to just end it all i myself am not suicidal i would say even if i think about it more than often to just quit go the pussy but easy way why should i struggle with life instead of going the easy route personally i think its because mankind fears the unkown we dont know whats after death because none really came back from actual death and reported about it like actual clinical dead but is is really the only reason like i know i am not going to kill myself yet and it probably stays that way because i am just too much of a pussy to be a pussy if you get what i mean 
1,after failing once this is how i feel i wish that suicide was funded by the government i wish guns for suicide would be like condoms given to teens so if they are going to do it they do it right i wish euthansia was legal i wish that i wouldnt have to fear buying poison or a gun off the black market because if i get caught my life would get worse 
1,my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally 
1,i am going to kill myself this weekend i dont see any reason to stay alive nothing has changed enough to make me want to stay i was raped as a kid and now all i am to people is a sex object good bye everyone 
1,i am going to kill myself tonight i am a lesbian grad student at a conservative big name school in america my life up until now has been shit i am lonely girls only want to use me for sex i dont feel loved by friends ive been struggling to find a dissertation lab i invented something for a professor in undergrad but now shes stealing it and giving me no credit i want to make sure i do it the right way so that i am gone i am just fucking tired of not feeling valued
1,i ended up in the hospital after suicide attempt and now my heart is messed up they wont let me leave until i am medically stable and then i have to go to psych hospital but i am not sure it will work
1,my 13 year old daughter overdosed on about 6 grams of wellbutrin and 1500mg of zoloft i am trying so hard to make this right she was airlifted to children s hospital and now she s laying in her hospital bed unresponsive and her muscles are jerking this has been the scariest day of my life that child is my entire world she s all i have i have out my heart and soul into raising her i never want to lose this little girl but here i am she s about to be 14 she s a little on the eccentric side but she has a heart of gold she s never met a stranger but ever since 8th grade has started she has been getting bullied and the teachers don t really do anything about it this was her way of coping i went to wake her for school this morning and found her covered in vomit and she had been hallucinating and having seizures for hours probably what if i hadn t found her why does she feel like this is the only way i want to make all the bad go away how do i do this how do i help her cope i didn t know who to turn to
1,now my heart wants to die too i ve been struggling with depression trauma and suicidal thoughts for years but honestly things havent been as painful as they are now i am here sitting alone and alienated confused depressed miserable helpless and alone and honestly at this point i just hate life
1,29 and missed my chance at love death cant come for me fast enough 144 iq thats 9983th percentile i also have a ms and ba from top ten schools cant figure this out somehow i am too old to attract someone i am attracted to and i am behind where a ivy graduate should be 42k at 29 years old in a temp position its just not enough to make me worth something i am so tired of not being loved for who i am and envy the attention women get i dont think i will ever be wanted like that just not good enough
1,i am newly married and my husband is wonderful i love him so much we are very much in love so why am i suicidal i honestly cant figure it out 9 days out of 10 i am absolutely fine happy positive excited about life then it hits me depression crippling anxiety suicidal thoughts i cut i cry i crumble on days like this i cant believe that anyone cares at all about me except my husband then i feel like i dont deserve him and sometimes push him away whats wrong with me what should i do i just cant shake the thought that everyone would be better off without me especially my husband
1,i am empty i ve been focusing on school and work but every day i feel worse and worse last night i got blackout drunk didnt help made me feel even worse i know that my loneliness comes mostly from my conscious decisions cant live with people cant live without them the only reason i havent killed myself yet is that i fear the pain 
1,the time has finally come i am finally ready to end it all after 25 years of a sickening life i am ready to end it all i should have done it earlier but my life was all about coping i ll die with depression and as an involutary celibate thought of resorting to sex work before death but i have no motivation for that i ll die in the city where i was born the bridge is 75 meters tall so it should be enough to kill me if i fall on concrete goodbye meaningless world
1,what now so i am 17 everyone knows i want to kill myself but nobody really acknowledges it as though even if i did it it would just be inevitable and nobody would give a shit which is true and i amfucking sick its been like 3 years of suicidal thoughts but over time theyve become disgustingly close to becoming reality and i am fucking scared i just want to die you know maybe i will
1,i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better
1,running out of option it physically hurts to breathe i have no dream or goal or ambition or motivation i am tried of it all i have been to hospital er psyche ward therapist difference medications my girlfriend the only person i really loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i feel it hurts it hurts so much so much pain and why i dont know why was i born to suffer like this if god is real he wants me dead and i do too
1,i want everyone to feel my pain i am sick of everyone trying to hold me down and take advantage of mei amsick of always being second choicei amsick of being neglected feared and hated i want everyone to feel my wrath and my pain i am sick of hiding in the shadows and just taking it all i want everything they ever did to me to happen to them and 100 times over i hope they never get reliefi amsick of people and i am not afraid to admit it and it makes me sick to see so many happy people with perfect lives they dont deserve it if i cant be happy why should anyone else be
